Run # 1
Initial state: 0 0.0701651 0.42689 0.775176 0.786504 0.130861 0.108784 0.143894 0.444963 0.309225 0.321075 0.48436 0.958457 0.996918 0.0711587 0.475477 0.674306 0.462964 0.301519 0.88783 0.599737 0.608883 0.458362 0.401422 0.159706 0.110684 0.0586952 0.453672 0.862495 0.699239 0.694518 0.483301 0.454989 0.153602 0.482402 0.684596 0.36565 0.193405 0.207348 0.0548881 0.0891236 0.866283 0.618985 0.904541 0.22698 0.279111 0.297875 0.27006 0.923819 0.891217 0.313095 0.844425 0.998199 0.331896 0.269716 0.831652 0.130938 0.465543 0.569127 0.175832 0.21452 0.00461847 0.752743 0.745579 0.135288 0.0385892 0.198995 0.84506 0.338273 0.720216 0.311377 0.394353 0.257508 0.824432 0.566618 0.774706 0.124046 0.517622 0.366223 0.924072 0.0330204 w: 1

t = 0
Improving policy...
PLANNING FROM:
action 31, numVisits=0, meanQ=-inf, numObservations: 0
action 21, numVisits=0, meanQ=-inf, numObservations: 0
action 22, numVisits=0, meanQ=-inf, numObservations: 0
action 23, numVisits=0, meanQ=-inf, numObservations: 0
action 24, numVisits=0, meanQ=-inf, numObservations: 0
action 25, numVisits=0, meanQ=-inf, numObservations: 0
action 26, numVisits=0, meanQ=-inf, numObservations: 0
action 27, numVisits=0, meanQ=-inf, numObservations: 0
action 28, numVisits=0, meanQ=-inf, numObservations: 0
action 29, numVisits=0, meanQ=-inf, numObservations: 0
action 30, numVisits=0, meanQ=-inf, numObservations: 0
action 20, numVisits=0, meanQ=-inf, numObservations: 0
action 32, numVisits=0, meanQ=-inf, numObservations: 0
action 33, numVisits=0, meanQ=-inf, numObservations: 0
action 34, numVisits=0, meanQ=-inf, numObservations: 0
action 35, numVisits=0, meanQ=-inf, numObservations: 0
action 36, numVisits=0, meanQ=-inf, numObservations: 0
action 37, numVisits=0, meanQ=-inf, numObservations: 0
action 38, numVisits=0, meanQ=-inf, numObservations: 0
action 39, numVisits=0, meanQ=-inf, numObservations: 0
action 40, numVisits=0, meanQ=-inf, numObservations: 0
action 10, numVisits=0, meanQ=-inf, numObservations: 0
action 0, numVisits=0, meanQ=-inf, numObservations: 0
action 1, numVisits=0, meanQ=-inf, numObservations: 0
action 2, numVisits=0, meanQ=-inf, numObservations: 0
action 3, numVisits=0, meanQ=-inf, numObservations: 0
action 4, numVisits=0, meanQ=-inf, numObservations: 0
action 5, numVisits=0, meanQ=-inf, numObservations: 0
action 6, numVisits=0, meanQ=-inf, numObservations: 0
action 7, numVisits=0, meanQ=-inf, numObservations: 0
action 8, numVisits=0, meanQ=-inf, numObservations: 0
action 9, numVisits=0, meanQ=-inf, numObservations: 0
action -1, numVisits=0, meanQ=-inf, numObservations: 0
action 11, numVisits=0, meanQ=-inf, numObservations: 0
action 12, numVisits=0, meanQ=-inf, numObservations: 0
action 13, numVisits=0, meanQ=-inf, numObservations: 0
action 14, numVisits=0, meanQ=-inf, numObservations: 0
action 15, numVisits=0, meanQ=-inf, numObservations: 0
action 16, numVisits=0, meanQ=-inf, numObservations: 0
action 17, numVisits=0, meanQ=-inf, numObservations: 0
action 18, numVisits=0, meanQ=-inf, numObservations: 0
action 19, numVisits=0, meanQ=-inf, numObservations: 0
Sampled 5492 episodes
GETTING ACTION FROM:
action 0, numVisits=2695, meanQ=-1.010000, numObservations: 2695
action -1, numVisits=2696, meanQ=-1.010000, numObservations: 2696
action 15, numVisits=1, meanQ=-10.010000, numObservations: 1
action 3, numVisits=1, meanQ=-10.010000, numObservations: 1
action 12, numVisits=1, meanQ=-10.010000, numObservations: 1
action 5, numVisits=1, meanQ=-10.010000, numObservations: 1
action 11, numVisits=1, meanQ=-10.010000, numObservations: 1
action 8, numVisits=1, meanQ=-10.010000, numObservations: 1
action 9, numVisits=1, meanQ=-10.010000, numObservations: 1
action 6, numVisits=8, meanQ=-38.500000, numObservations: 4
action 40, numVisits=15, meanQ=-62.201333, numObservations: 6
action 34, numVisits=6, meanQ=-102.501667, numObservations: 4
action 28, numVisits=6, meanQ=-120.670000, numObservations: 3
action 4, numVisits=5, meanQ=-121.000000, numObservations: 4
action 29, numVisits=5, meanQ=-121.000000, numObservations: 2
action 27, numVisits=4, meanQ=-203.252500, numObservations: 2
action 23, numVisits=4, meanQ=-203.252500, numObservations: 3
action 21, numVisits=4, meanQ=-203.252500, numObservations: 4
action 13, numVisits=3, meanQ=-267.666667, numObservations: 2
action 25, numVisits=3, meanQ=-304.003333, numObservations: 3
action 32, numVisits=2, meanQ=-451.000000, numObservations: 2
action 31, numVisits=2, meanQ=-451.000000, numObservations: 2
action 24, numVisits=2, meanQ=-451.000000, numObservations: 2
action 22, numVisits=2, meanQ=-451.000000, numObservations: 1
action 37, numVisits=2, meanQ=-451.000000, numObservations: 1
action 18, numVisits=2, meanQ=-451.000000, numObservations: 1
action 38, numVisits=2, meanQ=-451.000000, numObservations: 2
action 16, numVisits=2, meanQ=-451.000000, numObservations: 2
action 2, numVisits=2, meanQ=-451.000000, numObservations: 2
action 36, numVisits=1, meanQ=-1001.000000, numObservations: 1
action 35, numVisits=1, meanQ=-1001.000000, numObservations: 1
action 39, numVisits=1, meanQ=-1001.000000, numObservations: 1
action 10, numVisits=1, meanQ=-1001.000000, numObservations: 1
action 1, numVisits=1, meanQ=-1001.000000, numObservations: 1
action 33, numVisits=1, meanQ=-1001.000000, numObservations: 1
action 30, numVisits=1, meanQ=-1001.000000, numObservations: 1
action 26, numVisits=1, meanQ=-1001.000000, numObservations: 1
action 20, numVisits=1, meanQ=-1001.000000, numObservations: 1
action 19, numVisits=1, meanQ=-1001.000000, numObservations: 1
action 17, numVisits=1, meanQ=-1001.000000, numObservations: 1
action 14, numVisits=1, meanQ=-1001.000000, numObservations: 1
action 7, numVisits=1, meanQ=-1001.000000, numObservations: 1
action: 0
Next state: 0 0.0701651 0.42689 0.775176 0.786504 0.130861 0.108784 0.143894 0.444963 0.309225 0.321075 0.48436 0.958457 0.996918 0.0711587 0.475477 0.674306 0.462964 0.301519 0.88783 0.599737 0.608883 0.458362 0.401422 0.159706 0.110684 0.0586952 0.453672 0.862495 0.699239 0.694518 0.483301 0.454989 0.153602 0.482402 0.684596 0.36565 0.193405 0.207348 0.0548881 0.0891236 0.866283 0.618985 0.904541 0.22698 0.279111 0.297875 0.27006 0.923819 0.891217 0.313095 0.844425 0.998199 0.331896 0.269716 0.831652 0.130938 0.465543 0.569127 0.175832 0.21452 0.00461847 0.752743 0.745579 0.135288 0.0385892 0.198995 0.84506 0.338273 0.720216 0.311377 0.394353 0.257508 0.824432 0.566618 0.774706 0.124046 0.517622 0.366223 0.924072 0.0330204 w: 1
Observation: 0 0 3 0 3 0 1 0 3 0 2 0 3 0 1 0 3 0 1 0 3 0 3 0 3 0 1 0 3 0 3 0 3 0 3 0 2 0 1 0 1 0 3 0 1 0 1 0 3 0 2 0 3 0 1 0 1 0 3 0 1 0 3 0 1 0 1 0 2 0 2 0 1 0 1 0 1 0 3 0 1 
Immediate reward: -2
Updated belief

t = 1
Improving policy...
PLANNING FROM:
action 31, numVisits=0, meanQ=-inf, numObservations: 0
action 21, numVisits=0, meanQ=-inf, numObservations: 0
action 22, numVisits=0, meanQ=-inf, numObservations: 0
action 23, numVisits=0, meanQ=-inf, numObservations: 0
action 24, numVisits=0, meanQ=-inf, numObservations: 0
action 25, numVisits=0, meanQ=-inf, numObservations: 0
action 26, numVisits=0, meanQ=-inf, numObservations: 0
action 27, numVisits=0, meanQ=-inf, numObservations: 0
action 28, numVisits=0, meanQ=-inf, numObservations: 0
action 29, numVisits=0, meanQ=-inf, numObservations: 0
action 30, numVisits=0, meanQ=-inf, numObservations: 0
action 20, numVisits=0, meanQ=-inf, numObservations: 0
action 32, numVisits=0, meanQ=-inf, numObservations: 0
action 33, numVisits=0, meanQ=-inf, numObservations: 0
action 34, numVisits=0, meanQ=-inf, numObservations: 0
action 35, numVisits=0, meanQ=-inf, numObservations: 0
action 36, numVisits=0, meanQ=-inf, numObservations: 0
action 37, numVisits=0, meanQ=-inf, numObservations: 0
action 38, numVisits=0, meanQ=-inf, numObservations: 0
action 39, numVisits=0, meanQ=-inf, numObservations: 0
action 40, numVisits=0, meanQ=-inf, numObservations: 0
action 10, numVisits=0, meanQ=-inf, numObservations: 0
action 0, numVisits=0, meanQ=-inf, numObservations: 0
action 1, numVisits=0, meanQ=-inf, numObservations: 0
action 2, numVisits=0, meanQ=-inf, numObservations: 0
action 3, numVisits=0, meanQ=-inf, numObservations: 0
action 4, numVisits=0, meanQ=-inf, numObservations: 0
action 5, numVisits=0, meanQ=-inf, numObservations: 0
action 6, numVisits=0, meanQ=-inf, numObservations: 0
action 7, numVisits=0, meanQ=-inf, numObservations: 0
action 8, numVisits=0, meanQ=-inf, numObservations: 0
action 9, numVisits=0, meanQ=-inf, numObservations: 0
action -1, numVisits=0, meanQ=-inf, numObservations: 0
action 11, numVisits=0, meanQ=-inf, numObservations: 0
action 12, numVisits=0, meanQ=-inf, numObservations: 0
action 13, numVisits=0, meanQ=-inf, numObservations: 0
action 14, numVisits=0, meanQ=-inf, numObservations: 0
action 15, numVisits=0, meanQ=-inf, numObservations: 0
action 16, numVisits=0, meanQ=-inf, numObservations: 0
action 17, numVisits=0, meanQ=-inf, numObservations: 0
action 18, numVisits=0, meanQ=-inf, numObservations: 0
action 19, numVisits=0, meanQ=-inf, numObservations: 0
Sampled 6225 episodes
GETTING ACTION FROM:
action -1, numVisits=4008, meanQ=-5.727372, numObservations: 3922
action 0, numVisits=1970, meanQ=-5.818345, numObservations: 1931
action 1, numVisits=93, meanQ=-7.451613, numObservations: 6
