number of cutters,minimum number of suitable cutters,runs,time,mean discounted reward,lower discounted reward,upper discounted reward,mean num actions,lower num actions,upper num actions,cut %
3,2,500,1000,5.888673999999999,5.285455033620866,6.491892966379132,1.266,1.2234443629807406,1.3085556370192595,0.86
3,2,500,3000,5.7185983,5.100834858062621,6.336361741937379,1.27,1.2231514205300043,1.3168485794699958,0.852
3,2,500,5000,6.026948999999999,5.433540814716183,6.620357185283815,1.244,1.2043259766486107,1.2836740233513892,0.866
5,2,500,1000,2.3620837999999997,1.5845611718395731,3.1396064281604263,1.722,1.6479276586490876,1.7960723413509123,0.722
5,2,500,3000,2.6098739999999996,1.8552492656131,3.364498734386899,1.834,1.737308885748335,1.9306911142516652,0.74
5,2,500,5000,2.7677361899999995,2.0201405382056334,3.5153318417943655,1.85,1.7631639543311963,1.9368360456688039,0.75
7,2,500,1000,-0.7808149019999999,-1.6195411924001295,0.05791138840012955,2.778,2.625910394635658,2.930089605364342,0.662
7,2,500,3000,-1.254030112,-2.0874289738910976,-0.42063125010890234,3.046,2.8739784110957336,3.218021588904266,0.66
7,2,500,5000,-0.612521628,-1.4296478004652293,0.20460454446522935,3.126,2.954107345244325,3.2978926547556746,0.702
9,2,500,1000,-6.254781306000001,-7.246360632845625,-5.263201979154377,5.286,4.981550867522921,5.590449132477078,0.612
9,2,500,3000,-6.825345824,-7.805956692787738,-5.844734955212262,5.594,5.274390559320886,5.913609440679115,0.616
9,2,500,5000,-7.825770833999999,-8.815697043120522,-6.835844624879476,5.768,5.401353959949386,6.1346460400506135,0.572
11,2,500,1000,-10.600877912,-11.643941924815415,-9.557813899184584,6.846,6.396121273588467,7.295878726411533,0.516
11,2,500,3000,-10.255035608,-11.34357108381632,-9.16650013218368,7.074,6.656883785478132,7.491116214521868,0.558
11,2,500,5000,-10.9445167,-12.02380857852784,-9.86522482147216,7.394,6.693667590604846,8.094332409395154,0.53
3,2,500,10000,6.12551376,5.545288699900265,6.705738820099734,1.268,1.222225592469897,1.313774407530103,0.872
5,2,500,10000,2.394607266,1.6281021922925896,3.1611123397074103,1.81,1.7276037418649999,1.8923962581350002,0.73
7,2,500,10000,-0.550697374,-1.3858309171608911,0.2844361691608913,3.008,2.8355303109329384,3.1804696890670616,0.694
9,2,500,10000,-7.273431042,-8.322100260333618,-6.224761823666381,5.688,5.348380809602543,6.0276191903974565,0.596
11,2,500,10000,-12.214106167999999,-13.238899229439042,-11.189313106560956,7.392,6.977384582678009,7.806615417321992,0.486
