number of cutters,minimum number of suitable cutters,runs,time,mean discounted reward,lower discounted reward,upper discounted reward,mean num actions,lower num actions,upper num actions,cut %
9,9,500,1000,8.510016360000002,8.373549479131915,8.646483240868088,1.12,1.0865205352835274,1.1534794647164728,1.0
9,9,500,3000,8.5748854,8.45862629142835,8.691144508571648,1.104,1.0755440781529026,1.1324559218470975,1.0
9,9,500,5000,8.5260508,8.398622274131947,8.653479325868053,1.116,1.0847882156714204,1.1472117843285798,1.0
9,9,500,10000,8.436397999999999,8.293659072712291,8.579136927287706,1.138,1.1030186729369698,1.17298132706303,1.0
9,7,500,1000,6.1982307599999995,5.674617348347631,6.721844171652368,1.236,1.1919282915742997,1.2800717084257003,0.908
9,7,500,3000,5.817632959999999,5.238191113644156,6.3970748063558425,1.232,1.1853922803879955,1.2786077196120045,0.888
9,7,500,5000,5.93575,5.357357254163004,6.514142745836995,1.194,1.1551197764499719,1.232880223550028,0.886
9,7,500,10000,6.07261936,5.522454027827533,6.622784692172467,1.238,1.1914600503896933,1.2845399496103067,0.902
9,5,500,1000,2.688071562,1.9459584980162221,3.4301846259837783,1.802,1.7129191852519028,1.8910808147480973,0.804
9,5,500,3000,2.2471442759999998,1.4855578787604653,3.0087306732395342,1.912,1.821996681281091,2.002003318718909,0.794
9,5,500,5000,2.4505265579999995,1.7324681562947082,3.168584959705291,1.92,1.8282455642184348,2.0117544357815653,0.798
9,5,500,10000,2.941246838,2.229302184105527,3.6531914918944732,1.982,1.8803700659430498,2.08362993405695,0.834
9,3,500,1000,-4.3753967199999995,-5.3928540521617325,-3.357939387838266,3.692,3.458322465591275,3.925677534408725,0.654
9,3,500,3000,-3.5725673259999997,-4.556183246459352,-2.5889514055406466,3.386,3.1662466013720927,3.6057533986279076,0.66
9,3,500,5000,-4.6315328540000005,-5.603969885024007,-3.659095822975994,3.746,3.493993808812673,3.998006191187327,0.644
9,3,500,10000,-4.175876964,-5.1618592418684415,-3.189894686131559,3.69,3.4384766872855677,3.9415233127144322,0.654
9,1,500,1000,-62.94728861600001,-65.51728105370464,-60.377296178295374,38.064,36.135347220684146,39.992652779315854,0.372
