number of cutters,minimum number of suitable cutters,runs,time,mean discounted reward,lower discounted reward,upper discounted reward,mean num actions,lower num actions,upper num actions,cut %,exact num of suitable cutters %
3,2,500,1000,4.842192702,4.214015990048623,5.470369413951377,1.346,1.2920356681197156,1.3999643318802846,0.854,1.0
3,2,500,3000,4.974250099999999,4.370325090706493,5.578175109293505,1.388,1.3340947598922888,1.441905240107711,0.868,1.0
3,2,500,5000,5.278805102000001,4.692008755029401,5.8656014489706,1.36,1.3080626404196094,1.4119373595803908,0.878,1.0
5,2,500,1000,0.6568047540000003,-0.12353845116399498,1.4371479591639955,2.232,2.128103938911282,2.3358960610887185,0.752,1.0
5,2,500,3000,0.37170493400000004,-0.40190760317943164,1.1453174711794318,2.436,2.3212682329805423,2.5507317670194576,0.768,1.0
5,2,500,5000,0.149125964,-0.6631102878622478,0.9613622158622478,2.304,2.1874812295232355,2.420518770476764,0.736,1.0
7,2,500,1000,-5.562237665999999,-6.524213875717723,-4.600261456282275,4.534,4.2787859014457945,4.789214098554205,0.676,1.0
7,2,500,3000,-6.45380784,-7.472683216138547,-5.434932463861452,4.826,4.527223281463652,5.1247767185363475,0.656,1.0
7,2,500,5000,-6.502082833999999,-7.5686976043738055,-5.435468063626193,4.796,4.477002705070107,5.114997294929894,0.652,1.0
9,2,500,1000,-22.680374674,-24.09171753213785,-21.26903181586215,12.568,11.990077635692305,13.145922364307694,0.558,1.0
9,2,500,3000,-23.943442560000005,-25.340371294739928,-22.54651382526008,13.244,12.640309872901488,13.847690127098511,0.56,1.0
9,2,500,5000,-25.457768464,-26.901086584260476,-24.014450343739526,14.13,13.477925033525773,14.782074966474228,0.562,1.0
11,2,500,1000,-32.0889289,-33.68904113198677,-30.488816668013232,17.072,16.278280823093116,17.865719176906882,0.474,1.0
11,2,500,3000,-33.853577111999996,-35.52707048743075,-32.180083736569244,18.212,17.380813950651387,19.043186049348613,0.484,1.0
11,2,500,5000,-32.414934548000005,-34.06660822639356,-30.763260869606448,17.524,16.694991632186657,18.353008367813345,0.476,1.0
