number of cutters,minimum number of suitable cutters,runs,time,mean discounted reward,lower discounted reward,upper discounted reward,mean num actions,lower num actions,upper num actions,cut %,exact num of suitable cutters %
9,9,500,1000,8.42003718,8.276056848923622,8.564017511076377,1.142,1.1067031957793898,1.17729680422061,1.0,1.0
9,9,500,3000,8.5339036,8.415506146480919,8.652301053519082,1.114,1.0850319650531963,1.1429680349468039,1.0,1.0
9,9,500,5000,8.5913272,8.47465912487273,8.70799527512727,1.1,1.0714339132429314,1.1285660867570688,1.0,1.0
9,7,500,1000,6.3455717599999995,5.8185821847519685,6.87256133524803,1.23,1.1844849874213172,1.2755150125786827,0.914,1.0
9,7,500,3000,5.3563549,4.742659933757503,5.970049866242498,1.258,1.2048150603827992,1.3111849396172008,0.87,1.0
9,7,500,5000,6.0869481599999995,5.547405388552597,6.626490931447402,1.244,1.1985388050953125,1.2894611949046875,0.904,1.0
9,5,500,1000,2.7575808779999997,2.051555582331818,3.4636061736681816,1.882,1.7888104964689509,1.975189503531049,0.818,1.0
9,5,500,3000,2.6185413820000005,1.8690224035968943,3.3680603604031067,1.958,1.8532898461344587,2.0627101538655412,0.816,1.0
9,5,500,5000,1.73322605,0.9672638135547627,2.4991882864452375,1.94,1.8432310510652277,2.036768948934772,0.774,1.0
9,3,500,1000,-4.26252223,-5.21765208408186,-3.3073923759181403,3.868,3.6266498808881678,4.109350119111832,0.668,1.0
9,3,500,3000,-4.71852679,-5.705813530853874,-3.731240049146127,3.852,3.5985224468814057,4.105477553118594,0.652,1.0
9,3,500,5000,-4.774190378,-5.78346809792352,-3.7649126580764802,3.97,3.7032775000120304,4.2367224999879705,0.662,1.0
9,1,500,1000,-73.16268540799999,-75.83515194093312,-70.49021887506686,45.88,43.68431435789189,48.07568564210811,0.344,1.0
9,1,500,3000,-73.7174941,-76.20992884738835,-71.22505935261164,45.936,43.89035855248058,47.98164144751942,0.338,1.0
9,1,500,5000,-74.24275636,-76.93946871450315,-71.54604400549685,46.998,44.6642568352516,49.331743164748396,0.338,1.0
