Run # 1
Initial state: 0 0.628899 0.828682 0.0675122 0.979136 0.703428 0.634355 0.149362 0.798763 0.548549 0.491203 0.271495 0.397246 0.443634 0.482603 0.0227094 0.0824079 0.51744 0.735616 0.278576 0.25585 0.599338 0.242681 0.138204 0.87064 0.28012 0.461902 0.10573 0.177035 0.866151 0.328557 0.444086 0.369885 0.913103 0.00741997 0.699136 0.779121 0.263619 0.117869 0.222522 0.939108 0.672664 0.340002 0.747388 0.0291988 0.141226 0.12054 0.171964 0.636362 0.83411 0.104253 0.443707 0.468722 0.0446901 0.128612 0.402339 0.369971 0.784247 0.26606 0.869683 0.468737 0.103332 0.209846 0.123995 0.0150469 0.167504 0.363908 0.347774 0.899907 0.281514 0.211154 0.46588 0.0734928 0.0147618 0.553944 0.685598 0.494919 0.109189 0.897762 0.238279 0.97098 0.251502 0.366325 0.285322 0.238734 0.49492 0.12985 0.604519 0.940124 0.761316 0.411504 0.71028 0.863876 0.921541 0.413526 0.793829 0.81709 0.781535 0.993035 0.995944 0.121006 0.979561 0.849582 0.261874 0.56838 0.930823 0.607299 0.487948 0.439473 0.885615 0.416268 0.553414 2.3362e-05 0.536727 0.182378 0.119387 0.468797 0.0520079 0.218002 0.456864 0.99894 0.101304 0.732123 0.261062 0.511125 0.0364237 0.547859 0.756641 0.698246 0.076178 0.82949 0.512313 0.359334 0.810286 0.898617 0.992118 0.411566 0.218875 0.713463 0.628672 0.802461 0.929086 0.667959 0.948294 0.894871 0.414378 0.300554 0.306857 0.932487 0.29944 0.863744 0.772741 0.535728 0.0824155 0.648974 0.963274 0.784275 0.159625 0.730776 0.763873 0.879751 0.77494 0.971324 0.839361 0.433578 0.152572 0.58356 0.964067 0.195181 0.981199 0.501354 0.501189 0.766444 0.0114327 0.0904294 0.806257 0.292004 0.849923 0.500577 0.740905 0.995668 0.809001 0.161741 0.504835 0.775935 0.350569 0.585439 0.404335 0.240455 0.413098 0.204903 0.995851 0.464988 0.668942 0.906092 0.263889 0.0994271 0.176163 0.794728 0.246264 0.775875 w: 1

t = 0
Improving policy...
PLANNING FROM:
action 63, numVisits=0, meanQ=-inf, numObservations: 0
action 75, numVisits=0, meanQ=-inf, numObservations: 0
action 74, numVisits=0, meanQ=-inf, numObservations: 0
action 73, numVisits=0, meanQ=-inf, numObservations: 0
action 72, numVisits=0, meanQ=-inf, numObservations: 0
action 71, numVisits=0, meanQ=-inf, numObservations: 0
action 70, numVisits=0, meanQ=-inf, numObservations: 0
action 69, numVisits=0, meanQ=-inf, numObservations: 0
action 68, numVisits=0, meanQ=-inf, numObservations: 0
action 67, numVisits=0, meanQ=-inf, numObservations: 0
action 66, numVisits=0, meanQ=-inf, numObservations: 0
action 65, numVisits=0, meanQ=-inf, numObservations: 0
action 64, numVisits=0, meanQ=-inf, numObservations: 0
action 76, numVisits=0, meanQ=-inf, numObservations: 0
action 62, numVisits=0, meanQ=-inf, numObservations: 0
action 61, numVisits=0, meanQ=-inf, numObservations: 0
action 60, numVisits=0, meanQ=-inf, numObservations: 0
action 59, numVisits=0, meanQ=-inf, numObservations: 0
action 58, numVisits=0, meanQ=-inf, numObservations: 0
action 57, numVisits=0, meanQ=-inf, numObservations: 0
action 56, numVisits=0, meanQ=-inf, numObservations: 0
action 55, numVisits=0, meanQ=-inf, numObservations: 0
action 54, numVisits=0, meanQ=-inf, numObservations: 0
action 53, numVisits=0, meanQ=-inf, numObservations: 0
action 52, numVisits=0, meanQ=-inf, numObservations: 0
action 51, numVisits=0, meanQ=-inf, numObservations: 0
action 88, numVisits=0, meanQ=-inf, numObservations: 0
action 100, numVisits=0, meanQ=-inf, numObservations: 0
action 99, numVisits=0, meanQ=-inf, numObservations: 0
action 98, numVisits=0, meanQ=-inf, numObservations: 0
action 97, numVisits=0, meanQ=-inf, numObservations: 0
action 96, numVisits=0, meanQ=-inf, numObservations: 0
action 95, numVisits=0, meanQ=-inf, numObservations: 0
action 94, numVisits=0, meanQ=-inf, numObservations: 0
action 93, numVisits=0, meanQ=-inf, numObservations: 0
action 92, numVisits=0, meanQ=-inf, numObservations: 0
action 91, numVisits=0, meanQ=-inf, numObservations: 0
action 90, numVisits=0, meanQ=-inf, numObservations: 0
action 89, numVisits=0, meanQ=-inf, numObservations: 0
action 50, numVisits=0, meanQ=-inf, numObservations: 0
action 87, numVisits=0, meanQ=-inf, numObservations: 0
action 86, numVisits=0, meanQ=-inf, numObservations: 0
action 85, numVisits=0, meanQ=-inf, numObservations: 0
action 84, numVisits=0, meanQ=-inf, numObservations: 0
action 83, numVisits=0, meanQ=-inf, numObservations: 0
action 82, numVisits=0, meanQ=-inf, numObservations: 0
action 81, numVisits=0, meanQ=-inf, numObservations: 0
action 80, numVisits=0, meanQ=-inf, numObservations: 0
action 79, numVisits=0, meanQ=-inf, numObservations: 0
action 78, numVisits=0, meanQ=-inf, numObservations: 0
action 77, numVisits=0, meanQ=-inf, numObservations: 0
action 12, numVisits=0, meanQ=-inf, numObservations: 0
action 24, numVisits=0, meanQ=-inf, numObservations: 0
action 23, numVisits=0, meanQ=-inf, numObservations: 0
action 22, numVisits=0, meanQ=-inf, numObservations: 0
action 21, numVisits=0, meanQ=-inf, numObservations: 0
action 20, numVisits=0, meanQ=-inf, numObservations: 0
action 19, numVisits=0, meanQ=-inf, numObservations: 0
action 18, numVisits=0, meanQ=-inf, numObservations: 0
action 17, numVisits=0, meanQ=-inf, numObservations: 0
action 16, numVisits=0, meanQ=-inf, numObservations: 0
action 15, numVisits=0, meanQ=-inf, numObservations: 0
action 14, numVisits=0, meanQ=-inf, numObservations: 0
action 13, numVisits=0, meanQ=-inf, numObservations: 0
action 25, numVisits=0, meanQ=-inf, numObservations: 0
action 11, numVisits=0, meanQ=-inf, numObservations: 0
action 10, numVisits=0, meanQ=-inf, numObservations: 0
action 9, numVisits=0, meanQ=-inf, numObservations: 0
action 8, numVisits=0, meanQ=-inf, numObservations: 0
action 7, numVisits=0, meanQ=-inf, numObservations: 0
action 6, numVisits=0, meanQ=-inf, numObservations: 0
action 5, numVisits=0, meanQ=-inf, numObservations: 0
action 4, numVisits=0, meanQ=-inf, numObservations: 0
action 3, numVisits=0, meanQ=-inf, numObservations: 0
action 2, numVisits=0, meanQ=-inf, numObservations: 0
action 1, numVisits=0, meanQ=-inf, numObservations: 0
action 0, numVisits=0, meanQ=-inf, numObservations: 0
action 37, numVisits=0, meanQ=-inf, numObservations: 0
action 49, numVisits=0, meanQ=-inf, numObservations: 0
action 48, numVisits=0, meanQ=-inf, numObservations: 0
action 47, numVisits=0, meanQ=-inf, numObservations: 0
action 46, numVisits=0, meanQ=-inf, numObservations: 0
action 45, numVisits=0, meanQ=-inf, numObservations: 0
action 44, numVisits=0, meanQ=-inf, numObservations: 0
action 43, numVisits=0, meanQ=-inf, numObservations: 0
action 42, numVisits=0, meanQ=-inf, numObservations: 0
action 41, numVisits=0, meanQ=-inf, numObservations: 0
action 40, numVisits=0, meanQ=-inf, numObservations: 0
action 39, numVisits=0, meanQ=-inf, numObservations: 0
action 38, numVisits=0, meanQ=-inf, numObservations: 0
action -1, numVisits=0, meanQ=-inf, numObservations: 0
action 36, numVisits=0, meanQ=-inf, numObservations: 0
action 35, numVisits=0, meanQ=-inf, numObservations: 0
action 34, numVisits=0, meanQ=-inf, numObservations: 0
action 33, numVisits=0, meanQ=-inf, numObservations: 0
action 32, numVisits=0, meanQ=-inf, numObservations: 0
action 31, numVisits=0, meanQ=-inf, numObservations: 0
action 30, numVisits=0, meanQ=-inf, numObservations: 0
action 29, numVisits=0, meanQ=-inf, numObservations: 0
action 28, numVisits=0, meanQ=-inf, numObservations: 0
action 27, numVisits=0, meanQ=-inf, numObservations: 0
action 26, numVisits=0, meanQ=-inf, numObservations: 0
Sampled 45645 episodes
GETTING ACTION FROM:
action 31, numVisits=18007, meanQ=5.935542, numObservations: 9
action 22, numVisits=15928, meanQ=5.698633, numObservations: 9
action 62, numVisits=11183, meanQ=5.688957, numObservations: 9
action 8, numVisits=67, meanQ=4.939557, numObservations: 9
action 53, numVisits=34, meanQ=4.589718, numObservations: 7
action 34, numVisits=34, meanQ=4.353241, numObservations: 7
action 12, numVisits=34, meanQ=4.345006, numObservations: 7
action 25, numVisits=22, meanQ=4.220914, numObservations: 7
action 61, numVisits=33, meanQ=4.210606, numObservations: 7
action 46, numVisits=27, meanQ=4.147037, numObservations: 6
action 98, numVisits=18, meanQ=4.143333, numObservations: 7
action 75, numVisits=26, meanQ=4.123077, numObservations: 6
action 19, numVisits=23, meanQ=4.085217, numObservations: 8
action 58, numVisits=19, meanQ=4.000011, numObservations: 6
action 64, numVisits=12, meanQ=3.583333, numObservations: 3
action 78, numVisits=10, meanQ=3.410000, numObservations: 4
action 32, numVisits=9, meanQ=3.330000, numObservations: 4
action 38, numVisits=8, meanQ=3.123750, numObservations: 4
action 35, numVisits=8, meanQ=3.123750, numObservations: 4
action 41, numVisits=9, meanQ=2.442222, numObservations: 4
action 66, numVisits=9, meanQ=2.010000, numObservations: 4
action 1, numVisits=6, meanQ=1.998333, numObservations: 3
action 84, numVisits=6, meanQ=1.998333, numObservations: 3
action 69, numVisits=4, meanQ=1.745000, numObservations: 4
action 96, numVisits=4, meanQ=1.745000, numObservations: 3
action 86, numVisits=4, meanQ=1.745000, numObservations: 4
action 16, numVisits=7, meanQ=1.282857, numObservations: 5
action 48, numVisits=4, meanQ=0.752525, numObservations: 3
action 71, numVisits=3, meanQ=0.666667, numObservations: 2
action 99, numVisits=3, meanQ=0.666667, numObservations: 2
action 18, numVisits=3, meanQ=0.666667, numObservations: 2
action 57, numVisits=3, meanQ=0.666667, numObservations: 2
action 88, numVisits=3, meanQ=0.666667, numObservations: 2
action 2, numVisits=4, meanQ=-0.252500, numObservations: 4
action 14, numVisits=4, meanQ=-0.252500, numObservations: 3
action -1, numVisits=1, meanQ=-1.010000, numObservations: 1
action 0, numVisits=1, meanQ=-1.010000, numObservations: 1
action 49, numVisits=1, meanQ=-3.010000, numObservations: 1
action 74, numVisits=1, meanQ=-3.010000, numObservations: 1
action 36, numVisits=1, meanQ=-3.010000, numObservations: 1
action 80, numVisits=1, meanQ=-3.010000, numObservations: 1
action 79, numVisits=1, meanQ=-3.010000, numObservations: 1
action 59, numVisits=1, meanQ=-3.010000, numObservations: 1
action 77, numVisits=1, meanQ=-3.010000, numObservations: 1
action 76, numVisits=1, meanQ=-3.010000, numObservations: 1
action 67, numVisits=1, meanQ=-3.010000, numObservations: 1
action 68, numVisits=1, meanQ=-3.010000, numObservations: 1
action 95, numVisits=1, meanQ=-3.010000, numObservations: 1
action 93, numVisits=1, meanQ=-3.010000, numObservations: 1
action 20, numVisits=1, meanQ=-3.010000, numObservations: 1
action 24, numVisits=1, meanQ=-3.010000, numObservations: 1
action 26, numVisits=1, meanQ=-3.010000, numObservations: 1
action 91, numVisits=1, meanQ=-3.010000, numObservations: 1
action 28, numVisits=1, meanQ=-3.010000, numObservations: 1
action 15, numVisits=1, meanQ=-3.010000, numObservations: 1
action 11, numVisits=1, meanQ=-3.010000, numObservations: 1
action 40, numVisits=1, meanQ=-3.010000, numObservations: 1
action 10, numVisits=1, meanQ=-3.010000, numObservations: 1
action 9, numVisits=1, meanQ=-3.010000, numObservations: 1
action 42, numVisits=1, meanQ=-3.010000, numObservations: 1
action 43, numVisits=1, meanQ=-3.010000, numObservations: 1
action 45, numVisits=1, meanQ=-3.010000, numObservations: 1
action 73, numVisits=1, meanQ=-11.000000, numObservations: 1
action 94, numVisits=1, meanQ=-11.000000, numObservations: 1
action 97, numVisits=1, meanQ=-11.000000, numObservations: 1
action 92, numVisits=1, meanQ=-11.000000, numObservations: 1
action 90, numVisits=1, meanQ=-11.000000, numObservations: 1
action 89, numVisits=1, meanQ=-11.000000, numObservations: 1
action 100, numVisits=1, meanQ=-11.000000, numObservations: 1
action 87, numVisits=1, meanQ=-11.000000, numObservations: 1
action 81, numVisits=1, meanQ=-11.000000, numObservations: 1
action 82, numVisits=1, meanQ=-11.000000, numObservations: 1
action 83, numVisits=1, meanQ=-11.000000, numObservations: 1
action 85, numVisits=1, meanQ=-11.000000, numObservations: 1
action 37, numVisits=1, meanQ=-11.000000, numObservations: 1
action 3, numVisits=1, meanQ=-11.000000, numObservations: 1
action 4, numVisits=1, meanQ=-11.000000, numObservations: 1
action 5, numVisits=1, meanQ=-11.000000, numObservations: 1
action 6, numVisits=1, meanQ=-11.000000, numObservations: 1
action 7, numVisits=1, meanQ=-11.000000, numObservations: 1
action 13, numVisits=1, meanQ=-11.000000, numObservations: 1
action 17, numVisits=1, meanQ=-11.000000, numObservations: 1
action 21, numVisits=1, meanQ=-11.000000, numObservations: 1
action 23, numVisits=1, meanQ=-11.000000, numObservations: 1
action 27, numVisits=1, meanQ=-11.000000, numObservations: 1
action 29, numVisits=1, meanQ=-11.000000, numObservations: 1
action 30, numVisits=1, meanQ=-11.000000, numObservations: 1
action 33, numVisits=1, meanQ=-11.000000, numObservations: 1
action 72, numVisits=1, meanQ=-11.000000, numObservations: 1
action 39, numVisits=1, meanQ=-11.000000, numObservations: 1
action 44, numVisits=1, meanQ=-11.000000, numObservations: 1
action 47, numVisits=1, meanQ=-11.000000, numObservations: 1
action 50, numVisits=1, meanQ=-11.000000, numObservations: 1
action 51, numVisits=1, meanQ=-11.000000, numObservations: 1
action 52, numVisits=1, meanQ=-11.000000, numObservations: 1
action 54, numVisits=1, meanQ=-11.000000, numObservations: 1
action 55, numVisits=1, meanQ=-11.000000, numObservations: 1
action 56, numVisits=1, meanQ=-11.000000, numObservations: 1
action 60, numVisits=1, meanQ=-11.000000, numObservations: 1
action 63, numVisits=1, meanQ=-11.000000, numObservations: 1
action 65, numVisits=1, meanQ=-11.000000, numObservations: 1
action 70, numVisits=1, meanQ=-11.000000, numObservations: 1
action: 31
Next state: 0 0.628899 0.828682 0.0675122 0.979136 0.703428 0.634355 0.149362 0.798763 0.548549 0.491203 0.271495 0.397246 0.443634 0.482603 0.0227094 0.0824079 0.51744 0.735616 0.278576 0.25585 0.599338 0.242681 0.138204 0.87064 0.28012 0.461902 0.10573 0.177035 0.866151 0.328557 0.444086 0.369885 0.913103 0.00741997 0.699136 0.779121 0.263619 0.117869 0.222522 0.939108 0.672664 0.340002 0.747388 0.0291988 0.141226 0.12054 0.171964 0.636362 0.83411 0.104253 0.443707 0.468722 0.0446901 0.128612 0.402339 0.369971 0.784247 0.26606 0.869683 0.468737 0.103332 0.209846 0.123995 0.0150469 0.167504 0.363908 0.347774 0.899907 0.281514 0.211154 0.46588 0.0734928 0.0147618 0.553944 0.685598 0.494919 0.109189 0.897762 0.238279 0.97098 0.251502 0.366325 0.285322 0.238734 0.49492 0.12985 0.604519 0.940124 0.761316 0.411504 0.71028 0.863876 0.921541 0.413526 0.793829 0.81709 0.781535 0.993035 0.995944 0.121006 0.979561 0.849582 0.261874 0.56838 0.930823 0.607299 0.487948 0.439473 0.885615 0.416268 0.553414 2.3362e-05 0.536727 0.182378 0.119387 0.468797 0.0520079 0.218002 0.456864 0.99894 0.101304 0.732123 0.261062 0.511125 0.0364237 0.547859 0.756641 0.698246 0.076178 0.82949 0.512313 0.359334 0.810286 0.898617 0.992118 0.411566 0.218875 0.713463 0.628672 0.802461 0.929086 0.667959 0.948294 0.894871 0.414378 0.300554 0.306857 0.932487 0.29944 0.863744 0.772741 0.535728 0.0824155 0.648974 0.963274 0.784275 0.159625 0.730776 0.763873 0.879751 0.77494 0.971324 0.839361 0.433578 0.152572 0.58356 0.964067 0.195181 0.981199 0.501354 0.501189 0.766444 0.0114327 0.0904294 0.806257 0.292004 0.849923 0.500577 0.740905 0.995668 0.809001 0.161741 0.504835 0.775935 0.350569 0.585439 0.404335 0.240455 0.413098 0.204903 0.995851 0.464988 0.668942 0.906092 0.263889 0.0994271 0.176163 0.794728 0.246264 0.775875 w: 1
Observation: 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
Immediate reward: -4
Updated belief

t = 1
Improving policy...
PLANNING FROM:
action 39, numVisits=1527, meanQ=8.844928, numObservations: 9
action 46, numVisits=92, meanQ=6.583262, numObservations: 8
action 68, numVisits=61, meanQ=6.297879, numObservations: 8
action 78, numVisits=31, meanQ=6.145806, numObservations: 7
action 73, numVisits=20, meanQ=5.937505, numObservations: 6
action 62, numVisits=16, meanQ=5.810006, numObservations: 4
action 74, numVisits=20, meanQ=5.729500, numObservations: 6
action 43, numVisits=21, meanQ=5.713338, numObservations: 7
action 36, numVisits=29, meanQ=5.664828, numObservations: 8
action 17, numVisits=12, meanQ=5.580833, numObservations: 6
action 8, numVisits=12, meanQ=5.562508, numObservations: 5
action 64, numVisits=12, meanQ=5.256667, numObservations: 6
action 14, numVisits=12, meanQ=5.227500, numObservations: 6
action 6, numVisits=8, meanQ=5.121250, numObservations: 6
action 32, numVisits=8, meanQ=5.121250, numObservations: 6
action 1, numVisits=10, meanQ=5.008000, numObservations: 5
action 16, numVisits=6, meanQ=4.661667, numObservations: 4
action 76, numVisits=10, meanQ=4.598000, numObservations: 6
action 38, numVisits=7, meanQ=4.585714, numObservations: 4
action 41, numVisits=6, meanQ=4.000017, numObservations: 3
action 84, numVisits=7, meanQ=4.000000, numObservations: 4
action 44, numVisits=3, meanQ=3.330000, numObservations: 3
action 98, numVisits=3, meanQ=3.330000, numObservations: 2
action 82, numVisits=3, meanQ=3.330000, numObservations: 3
action 3, numVisits=3, meanQ=3.330000, numObservations: 3
action 28, numVisits=3, meanQ=3.330000, numObservations: 3
action 70, numVisits=3, meanQ=3.330000, numObservations: 3
action 56, numVisits=3, meanQ=3.330000, numObservations: 3
