Run # 1
Initial state: 0 0.190234 0.759232 0.0329073 0.808679 0.470012 0.115862 0.0513853 0.856095 0.520792 0.440878 0.723103 0.153733 0.901483 4.66007e-05 0.644148 0.411952 0.340572 0.386541 0.391561 0.593435 0.803961 0.746848 0.499444 0.375573 0.779189 0.43221 0.397417 0.940152 0.648739 0.968822 0.474916 0.369504 0.779382 0.267473 0.719893 0.085186 0.0397361 0.0658922 0.871421 0.00638284 0.302043 0.208082 0.952877 0.975079 0.128692 0.221587 0.71675 0.0944551 0.447849 0.437684 0.280506 0.415932 0.15467 0.220016 0.939963 0.164267 0.479376 0.510999 0.864281 0.157247 0.865752 0.604628 0.177243 0.616154 0.830653 0.144971 0.355194 0.854469 0.397913 0.38704 0.553448 0.114222 0.107848 0.508232 0.408888 0.398325 0.195756 0.0737882 0.769119 0.772998 w: 1

t = 0
Improving policy...
PLANNING FROM:
action 31, numVisits=0, meanQ=-inf, numObservations: 0
action 21, numVisits=0, meanQ=-inf, numObservations: 0
action 22, numVisits=0, meanQ=-inf, numObservations: 0
action 23, numVisits=0, meanQ=-inf, numObservations: 0
action 24, numVisits=0, meanQ=-inf, numObservations: 0
action 25, numVisits=0, meanQ=-inf, numObservations: 0
action 26, numVisits=0, meanQ=-inf, numObservations: 0
action 27, numVisits=0, meanQ=-inf, numObservations: 0
action 28, numVisits=0, meanQ=-inf, numObservations: 0
action 29, numVisits=0, meanQ=-inf, numObservations: 0
action 30, numVisits=0, meanQ=-inf, numObservations: 0
action 20, numVisits=0, meanQ=-inf, numObservations: 0
action 32, numVisits=0, meanQ=-inf, numObservations: 0
action 33, numVisits=0, meanQ=-inf, numObservations: 0
action 34, numVisits=0, meanQ=-inf, numObservations: 0
action 35, numVisits=0, meanQ=-inf, numObservations: 0
action 36, numVisits=0, meanQ=-inf, numObservations: 0
action 37, numVisits=0, meanQ=-inf, numObservations: 0
action 38, numVisits=0, meanQ=-inf, numObservations: 0
action 39, numVisits=0, meanQ=-inf, numObservations: 0
action 40, numVisits=0, meanQ=-inf, numObservations: 0
action 10, numVisits=0, meanQ=-inf, numObservations: 0
action 0, numVisits=0, meanQ=-inf, numObservations: 0
action 1, numVisits=0, meanQ=-inf, numObservations: 0
action 2, numVisits=0, meanQ=-inf, numObservations: 0
action 3, numVisits=0, meanQ=-inf, numObservations: 0
action 4, numVisits=0, meanQ=-inf, numObservations: 0
action 5, numVisits=0, meanQ=-inf, numObservations: 0
action 6, numVisits=0, meanQ=-inf, numObservations: 0
action 7, numVisits=0, meanQ=-inf, numObservations: 0
action 8, numVisits=0, meanQ=-inf, numObservations: 0
action 9, numVisits=0, meanQ=-inf, numObservations: 0
action -1, numVisits=0, meanQ=-inf, numObservations: 0
action 11, numVisits=0, meanQ=-inf, numObservations: 0
action 12, numVisits=0, meanQ=-inf, numObservations: 0
action 13, numVisits=0, meanQ=-inf, numObservations: 0
action 14, numVisits=0, meanQ=-inf, numObservations: 0
action 15, numVisits=0, meanQ=-inf, numObservations: 0
action 16, numVisits=0, meanQ=-inf, numObservations: 0
action 17, numVisits=0, meanQ=-inf, numObservations: 0
action 18, numVisits=0, meanQ=-inf, numObservations: 0
action 19, numVisits=0, meanQ=-inf, numObservations: 0
Sampled 3482 episodes
GETTING ACTION FROM:
action 0, numVisits=1685, meanQ=-1.010000, numObservations: 1685
action -1, numVisits=1685, meanQ=-1.010000, numObservations: 1685
action 20, numVisits=1, meanQ=-10.010000, numObservations: 1
action 39, numVisits=1, meanQ=-10.010000, numObservations: 1
action 38, numVisits=1, meanQ=-10.010000, numObservations: 1
action 36, numVisits=1, meanQ=-10.010000, numObservations: 1
action 34, numVisits=1, meanQ=-10.010000, numObservations: 1
action 32, numVisits=1, meanQ=-10.010000, numObservations: 1
action 26, numVisits=1, meanQ=-10.010000, numObservations: 1
action 25, numVisits=1, meanQ=-10.010000, numObservations: 1
action 16, numVisits=1, meanQ=-10.010000, numObservations: 1
action 13, numVisits=1, meanQ=-10.010000, numObservations: 1
action 11, numVisits=1, meanQ=-10.010000, numObservations: 1
action 1, numVisits=1, meanQ=-10.010000, numObservations: 1
action 4, numVisits=1, meanQ=-10.010000, numObservations: 1
action 17, numVisits=9, meanQ=-59.558889, numObservations: 6
action 6, numVisits=9, meanQ=-60.769989, numObservations: 6
action 15, numVisits=9, meanQ=-71.671111, numObservations: 7
action 29, numVisits=7, meanQ=-89.288571, numObservations: 6
action 40, numVisits=6, meanQ=-120.670000, numObservations: 4
action 23, numVisits=5, meanQ=-121.000000, numObservations: 3
action 22, numVisits=6, meanQ=-140.654983, numObservations: 5
action 37, numVisits=5, meanQ=-142.802000, numObservations: 4
action 24, numVisits=5, meanQ=-142.802000, numObservations: 4
action 2, numVisits=5, meanQ=-164.802000, numObservations: 4
action 30, numVisits=4, meanQ=-203.252500, numObservations: 3
action 9, numVisits=4, meanQ=-203.252500, numObservations: 3
action 8, numVisits=3, meanQ=-304.003333, numObservations: 3
action 18, numVisits=3, meanQ=-304.003333, numObservations: 3
action 7, numVisits=3, meanQ=-304.003333, numObservations: 3
action 28, numVisits=2, meanQ=-451.000000, numObservations: 1
action 5, numVisits=2, meanQ=-451.000000, numObservations: 1
action 19, numVisits=2, meanQ=-451.000000, numObservations: 2
action 10, numVisits=2, meanQ=-451.000000, numObservations: 2
action 27, numVisits=1, meanQ=-1001.000000, numObservations: 1
action 31, numVisits=1, meanQ=-1001.000000, numObservations: 1
action 33, numVisits=1, meanQ=-1001.000000, numObservations: 1
action 14, numVisits=1, meanQ=-1001.000000, numObservations: 1
action 35, numVisits=1, meanQ=-1001.000000, numObservations: 1
action 3, numVisits=1, meanQ=-1001.000000, numObservations: 1
action 21, numVisits=1, meanQ=-1001.000000, numObservations: 1
action 12, numVisits=1, meanQ=-1001.000000, numObservations: 1
action: -1
Next state: 0 0.190234 0.759232 0.0329073 0.808679 0.470012 0.115862 0.0513853 0.856095 0.520792 0.440878 0.723103 0.153733 0.901483 4.66007e-05 0.644148 0.411952 0.340572 0.386541 0.391561 0.593435 0.803961 0.746848 0.499444 0.375573 0.779189 0.43221 0.397417 0.940152 0.648739 0.968822 0.474916 0.369504 0.779382 0.267473 0.719893 0.085186 0.0397361 0.0658922 0.871421 0.00638284 0.302043 0.208082 0.952877 0.975079 0.128692 0.221587 0.71675 0.0944551 0.447849 0.437684 0.280506 0.415932 0.15467 0.220016 0.939963 0.164267 0.479376 0.510999 0.864281 0.157247 0.865752 0.604628 0.177243 0.616154 0.830653 0.144971 0.355194 0.854469 0.397913 0.38704 0.553448 0.114222 0.107848 0.508232 0.408888 0.398325 0.195756 0.0737882 0.769119 0.772998 w: 1
Observation: 0 1 0 3 0 2 0 1 0 3 0 3 0 3 0 3 0 1 0 1 0 3 0 1 0 3 0 1 0 3 0 2 0 3 0 3 0 1 0 3 0 1 0 3 0 1 0 3 0 3 0 1 0 1 0 3 0 2 0 3 0 3 0 1 0 3 0 1 0 1 0 3 0 1 0 1 0 1 0 3 0 
Immediate reward: -2
Updated belief

t = 1
Improving policy...
PLANNING FROM:
action 31, numVisits=0, meanQ=-inf, numObservations: 0
action 21, numVisits=0, meanQ=-inf, numObservations: 0
action 22, numVisits=0, meanQ=-inf, numObservations: 0
action 23, numVisits=0, meanQ=-inf, numObservations: 0
action 24, numVisits=0, meanQ=-inf, numObservations: 0
action 25, numVisits=0, meanQ=-inf, numObservations: 0
action 26, numVisits=0, meanQ=-inf, numObservations: 0
action 27, numVisits=0, meanQ=-inf, numObservations: 0
action 28, numVisits=0, meanQ=-inf, numObservations: 0
action 29, numVisits=0, meanQ=-inf, numObservations: 0
action 30, numVisits=0, meanQ=-inf, numObservations: 0
action 20, numVisits=0, meanQ=-inf, numObservations: 0
action 32, numVisits=0, meanQ=-inf, numObservations: 0
action 33, numVisits=0, meanQ=-inf, numObservations: 0
action 34, numVisits=0, meanQ=-inf, numObservations: 0
action 35, numVisits=0, meanQ=-inf, numObservations: 0
action 36, numVisits=0, meanQ=-inf, numObservations: 0
action 37, numVisits=0, meanQ=-inf, numObservations: 0
action 38, numVisits=0, meanQ=-inf, numObservations: 0
action 39, numVisits=0, meanQ=-inf, numObservations: 0
action 40, numVisits=0, meanQ=-inf, numObservations: 0
action 10, numVisits=0, meanQ=-inf, numObservations: 0
action 0, numVisits=0, meanQ=-inf, numObservations: 0
action 1, numVisits=0, meanQ=-inf, numObservations: 0
action 2, numVisits=0, meanQ=-inf, numObservations: 0
action 3, numVisits=0, meanQ=-inf, numObservations: 0
action 4, numVisits=0, meanQ=-inf, numObservations: 0
action 5, numVisits=0, meanQ=-inf, numObservations: 0
action 6, numVisits=0, meanQ=-inf, numObservations: 0
action 7, numVisits=0, meanQ=-inf, numObservations: 0
action 8, numVisits=0, meanQ=-inf, numObservations: 0
action 9, numVisits=0, meanQ=-inf, numObservations: 0
action -1, numVisits=0, meanQ=-inf, numObservations: 0
action 11, numVisits=0, meanQ=-inf, numObservations: 0
action 12, numVisits=0, meanQ=-inf, numObservations: 0
action 13, numVisits=0, meanQ=-inf, numObservations: 0
action 14, numVisits=0, meanQ=-inf, numObservations: 0
action 15, numVisits=0, meanQ=-inf, numObservations: 0
action 16, numVisits=0, meanQ=-inf, numObservations: 0
action 17, numVisits=0, meanQ=-inf, numObservations: 0
action 18, numVisits=0, meanQ=-inf, numObservations: 0
action 19, numVisits=0, meanQ=-inf, numObservations: 0
Sampled 65985 episodes
GETTING ACTION FROM:
action 3, numVisits=65881, meanQ=56.022120, numObservations: 9
action 16, numVisits=2, meanQ=44.495000, numObservations: 2
action 13, numVisits=2, meanQ=44.495000, numObservations: 2
